Id,Titre,Description,Service,Date
1,Panne d'un équipement,L'équipement X ne fonctionne plus,Production,2023-01-01
2,Incident de sécurité,Un employé a été blessé,Logistique,2023-02-02
3,Arrêt de production,Un incident technique a interrompu la production,Production,2023-03-03
4,Incident informatique,Le système de production est tombé en panne,Production,2023-04-04
5,Incident de qualité,Un produit a été défectueux,Production,2023-05-05
6,Incident de livraison,Un client n'a pas reçu sa commande,Logistique,2023-06-06
7,Incident de transport,Un camion a eu un accident,Logistique,2023-07-07
8,Incident de sécurité,Un incendie a eu lieu dans un entrepôt,Logistique,2023-08-08
9,Incident de sécurité,Un employé a été victime d'un vol,Maintenance,2023-09-09
10,Arrêt de production,Un incident technique a interrompu la production,Maintenance,2023-10-10
11,Incident informatique,Le système de maintenance est tombé en panne,Maintenance,2023-11-11
12,Incident de qualité,Un produit a été défectueux,Maintenance,2023-12-12
13,Incident de livraison,Un client n'a pas reçu sa commande,Production,2022-01-01
14,Incident de transport,Un camion a eu un accident,Production,2022-02-02
15,Incident de sécurité,Un incendie a eu lieu dans un entrepôt,Production,2021-03-03
16,Incident de qualité,Un produit a été défectueux,Maintenance,2022-04-04
17,Arrêt de production,Un incident technique a interrompu la production,Maintenance,2021-05-05
18,Incident informatique,Le système de maintenance est tombé en panne,Maintenance,2021-06-06
19,Incident de sécurité,Un employé a été victime d'un vol,Production,2022-07-07
20,Arrêt de production,Un incident technique a interrompu la production,Production,2020-08-08
